Dog;Sex;Breed;Age(m);subgroup;subgroup_described;demonstrator;targett.;touchscr.;eyetrack;Sniff_LID_binary;Sniff_DOT_binary;Sniff_lid_dot_binary;dot_blue;dot_yellow;lid(L-to-R);lid(R-to-L);Right_order_dots;copying_fidelity;at_least_1dot;2dots(incorrectly);opening_lid_however;1dot+lid;1dot+lid_corr;2dots+lid;2dots+lid_corr;proxi_lid_BIN;sniff_and_proxi_lid;sniff_and_proxi_lid_AND_opening_lid;just_sniff_AND_opening_the_lid;proxi_dots_BIN;sniff_and_proxi_dots;sniff_proxi_dots_AND_touch;touching_dots;fidelity_IRRELEVANT;fidelity_RELEVANT;
Holly3;1;australian_shepherd;52;4;rel+irr;owner;0;0;0;0;1;0;1;1;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0;1;1;2;2;4;1;
Jolie;1;mix;90;4;rel+irr;owner;0;1;0;1;1;1;1;1;0;0;0;2;1;1;0;0;0;0;0;1;1;1;1;1;1;2;2;4;2;
Juni;1;labrador;105;4;rel+irr;owner;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;
Kilio;2;mix;94;4;rel+irr;owner;1;1;1;1;1;1;1;1;1;0;0;2;1;1;1;1;0;1;0;1;1;2;2;1;1;2;2;4;3;
Lennon;2;alaskan_husky;41;4;rel+irr;owner;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;1;1;1;0;2;4;
Luna20;1;labrador;42;4;rel+irr;owner;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;2;1;
Manni2;2;Pyrénées;17;4;rel+irr;owner;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;2;1;3;0;
Pascha1;2;german_shep;98;4;rel+irr;owner;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;2;2;1;0;0;0;1;3;
Prada;1;australian_shepherd;22;4;rel+irr;owner;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Salsa;1;mix;122;4;rel+irr;owner;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;2;2;
Snoopy4;2;australian_shepherd;53;4;rel+irr;owner;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;2;
Soraya;1;mix;65;4;rel+irr;owner;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;1;0;0;0;1;4;
Spicy;2;mini_australian_shepherd;88;4;rel+irr;owner;1;0;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;0;1;1;2;2;1;1;2;1;3;4;
